של	shel
את	vous
את	tu
את	toi
את	you
קטגוריה	catégorie
קטגוריה	catégories
עם	avec
גם	également
גם	aussi
גם	egalement
גם	trop
גם	too
זה	ceci
זה	cet
זה	cette
זה	cela
זה	ce
זה	que
זה	cela
היא	she
היא	elle
היה	fut
היה	etait
היה	était
שיחה	conversation
שיחה	appeler
שיחה	appelez
שיחה	appel
שיחה	appelle
לאחר	apres
לאחר	after
לאחר	après
לאחר	aprés
בין	bean
בין	haricot
בין	haricots
בין	inter
בין	entre
כל	toute
כל	toutes
כל	tous
כל	tout
כל	all
כי	parce
כי	car
כי	parceque
יותר	davantage
יותר	plus
ישראל	israël
ישראל	israel
אך	mais
יש	youpi
שם	là
שם	nommer
שם	nom
שם	dénomination
שם	noms
בית	beit
בית	maison
בית	domicile
בית	accueil
בית	maison
הם	elles
הם	ils
הם	eux
הייתה	fut
הייתה	etait
הייתה	était
אשר	asher
אשר	escher
אשר	usher
אשר	lesquels
אשר	laquelle
אשר	lequel
אשר	confirmez
אשר	confirmation
אשר	confirmer
כמו	comme
כמו	aime
כמו	aiment
כמו	genre
כמו	aimez
אחד	un
אחד	une
אחד	one
שמאל	gauche
קישורים	liens
חיצוניים	externe
חיצוניים	extérieurs
חיצוניים	extérieur
חיצוניים	extérieure
חיצוניים	externes
הברית	alliance
הברית	alliances
מספר	nombre
מספר	numéro
בו	lui
בו	boo
היו	étaient
רק	seul
רק	uniquement
רק	seulement
רק	seule
רק	just
רק	simplement
רק	juste
כאשר	lorsque
כאשר	quand
אותו	lui
בן	ben
בן	fils
בן	fiston
שלו	sa
שלו	his
שלו	ses
שלו	son
שלו	sa
שלו	ses
שלו	son
שני	second
שני	deuxième
שני	deuxieme
שני	seconde
שני	shani
שני	two
שני	deux
שני	lundi
לו	lew
לו	lou
מה	quoi
מה	quel
מה	quelle
העולם	monde
העולם	mondial
העולם	mondiale
העיר	ville
העיר	ville
העיר	villes
במהלך	durant
במהלך	pendant
במהלך	lors
כן	oui
כן	yes
כן	ouais
כן	oui
כן	yeah
כן	ouai
שנים	années
שנים	ans
אף	nez
אף	fep
רבים	nombreux
רבים	beaucoup
רבים	nombreuses
רבים	plusieurs
רבים	pluriel
רבים	plurielle
אבל	mais
בה	her
אין	aucun
אין	néant
אין	aucune
אביב	aviv
אביב	spring
אביב	printemps
אביב	ressort
במאי	mai
במאי	may
במאי	peut
במאי	directeur
במאי	directrice
במאי	réalisateur
שנה	annee
שנה	an
שנה	année
שנה	années
שנה	ans
נולד	naître
נולד	né
נולד	naissance
נולד	née
נולד	born
