در	door
رده	class
از	from
که	who
که	that
این	this
را	the
را	make
با	with
میلادی	decade
یک	one
سال	years
سال	sal
سال	year
آن	anne
ایران	iran
برای	for
اهل	ahl
شهرستان	county
آمریکا	america
فهرست	catalog
فهرست	list
فهرست	catalogue
فهرست	roster
بود	was
دارد	has
او	she
او	his
او	him
او	her
تا	may
تا	until
تا	till
وابسته	adjective
وابسته	dependent
وابسته	associated
فوتبال	soccer
فوتبال	football
ساعت	hours
ساعت	hour
ساعت	clock
پایه	foundation
پایه	base
پایه	foundations
پایه	basic
نام	name
استان	province
استان	region
شهر	town
شهر	city
ملی	national
کشور	country
تاریخ	date
تاریخ	history
فیلم	movie
فیلم	film
فیلم	movies
بخش	department
بخش	sector
بخش	section
بخش	district
جمعیت	crowds
جمعیت	crowd
جمعیت	population
دو	two
اثر	effect
پس	then
یکی	someone
یکی	one
بازیکنان	players
آثار	artifacts
آثار	effects
وی	wei
وی	wii
روستاهای	villages
دیگر	more
دیگر	other
دیگر	another
دیگر	others
می	may
می	mei
پیوند	link
پیوند	linked
پیوند	bond
پیش	before
بحث	arguing
بحث	discussion
بیرون	out
افراد	people
دوره	course
دوره	period
دهه	decades
دهه	decade
متر	meters
متر	metres
متر	meter
کاربر	user
مناطق	districts
مناطق	areas
هر	every
هر	any
باشگاه	club
باشگاه	gym
باشگاه	fenerbahçe
قنات	qanat
شهرهای	municipalities
دانشگاه	university
دانشگاه	college
مورد	case
سده	century
ثبت	logging
ثبت	log
وجود	existence
زبان	languages
زبان	tongue
زبان	language
زادگان	descendant
مسکونی	residential
شماره	number
کار	job
کار	work
کار	working
اما	but
بازیگران	filming
بازیگران	actors
روی	roy
روی	zinc
فرودگاه	airport
صورت	face
مرکز	central
مرکز	center
مرکز	centre
زمان	zaman
زمان	time
شرکت	corporate
شرکت	company
شرکت	participate
مقاله	essay
مقاله	article
مقاله	articles
تیم	tim
تیم	team
مرد	man
انگلیسی	english
نظر	comment
نظر	opinion
جهانی	international
جهانی	universal
جهانی	global
جهانی	world
همچنین	also
همچنین	too
همچنین	likewise
زندگی	living
زندگی	life
زن	woman
زن	female
زن	wife
زیر	below
زیر	under
آنها	them
آنها	they
هستند	are
جوایز	awards
جوایز	prizes
روستا	village
تهران	tehran
بازی	game
بازی	games
بازی	play
تاریخی	historic
تاریخی	historical
سرشماری	census
فرانسه	french
فرانسه	france
جنگ	war
باید	must
دست	hands
دست	arm
دست	hand
شورای	council
محل	place
محل	location
های	hai
توابع	functions
کتاب	book
کتاب	books
آلمان	german
آلمان	germany
سطح	levels
سطح	surface
سطح	level
اصلی	main
اصلی	original
اصلی	primary
ساخت	construction
ساخت	manufacturing
المپیک	olympic
المپیک	olympics
اول	first
سازمان	organization
سازمان	organisation
سازمان	agency
سه	three
دارای	renowned
کند	does
مرکزی	centered
مرکزی	centred
مرکزی	central
ایالت	state
زنده	alive
فارسی	farsi
فارسی	persian
بین	bean
بین	between
انگلستان	england
دوم	second
موسیقی	music
گروه	band
گروه	group
جایزه	bonus
جایزه	prize
جایزه	award
بیشتر	most
بیشتر	more
جنوبی	southern
جنوبی	south
روز	day
روز	daytime
جمهوری	republic
مرگ	death
ولی	but
داد	dodd
آمریکایی	american
نقش	role
منطقه	region
منطقه	zone
منطقه	district
منطقه	area
بسیار	very
بسیار	many
بسیار	much
اسلامی	islamic
بزرگ	large
بزرگ	big
اروپا	europe
اروپا	europa
روستایی	rural
روستایی	villager
روستایی	peasant
آمار	statistics
فعالیت	activity
اشاره	hint
زاده	born
محمد	mohammad
محمد	muhammad
محمد	mohamed
بریتانیا	british
بریتانیا	britannia
مانند	like
چند	few
چند	multi
شمالی	north
شمالی	northern
شمالی	carolina
آب	water
خورشیدگرفتگی	eclipse
ایرانی	persian
ایرانی	irani
ایرانی	iranian
اطلاعات	info
اطلاعات	information
ایجاد	create
ایجاد	creation
ایجاد	creating
ایجاد	construct
مالک	owner
مالک	malik
امنیت	security
امنیت	safety
نوع	type
مردم	people
دلیل	reason
دلیل	cause
روستای	village
دور	far
دور	away
اولین	evelyn
مربوط	relevant
مربوط	related
بار	load
بار	barr
بار	bar
دریا	sea
شما	you
شما	your
برابر	equal
