que	that
per	for
les	les
els	the
amb	with
com	like
més	more
bar	bar
seu	headquarters
van	van
era	era
seva	seva
text	text
també	also
entre	between
fou	was
anys	years
any	year
població	population
però	but
aquest	this
altres	other
altres	others
estat	state
després	after
són	are
fins	until
des	des
aquesta	this
eren	were
estats	states
persones	people
from	from
part	part
cap	none
sobre	envelope
gran	great
durant	during
durant	durant
tot	everything
enllaços	links
dos	two
externs	external
família	family
ciutat	city
quan	when
habitatges	houses
qual	which
molt	very
tenia	tapeworm
nord	north
habitants	inhabitants
barcelona	barcelona
dones	women
res	nothing
segons	seconds
primer	first
segle	century
nom	name
tres	three
sud	south
lloc	place
nova	new
nova	nova
homes	men
primera	first
dues	two
guerra	war
següent	next
sense	without
això	this
general	general
municipi	municipality
catalunya	catalonia
vivien	vivien
forma	shape
forma	form
mateix	same
fet	done
han	han
encara	still
mort	death
dades	data
només	only
només	just
regió	region
temps	time
empreses	companies
troba	find
grup	group
contra	against
admin	admin
properes	upcoming
famílies	families
frança	france
poblacions	populations
fills	children
rei	king
francès	french
mentre	while
nombre	number
tots	all
edició	editing
edició	publishing
isbn	isbn
renda	rent
quatre	four
partit	party
alguns	some
aquests	these
fill	son
nou	new
març	march
setembre	september
principal	main
menys	less
color	color
color	colour
món	world
octubre	october
empresa	company
abans	before
edat	age
web	web
jpg	jpg
dins	inside
església	church
maig	may
terme	terme
casa	house
història	story
història	history
país	country
segona	second
joan	john
joan	joan
final	end
govern	government
est	east
est	est
vida	life
poder	power
totes	all
situat	situated
gener	january
tipus	type
habitatge	housing
juny	june
diferents	different
parelles	couples
parelles	pairs
diversos	several
català	catalan
fitxa	sheet
insee	insee
títol	title
haver	haver
oest	west
desembre	december
què	what
san	san
nacional	national
nacional	nacional
abril	april
major	major
agost	august
vivint	living
poble	village
centre	center
centre	centre
perquè	because
aquestes	these
riu	river
disc	disc
mostra	sample
mostra	show
novembre	november
obres	works
millor	best
espanya	spain
sistema	system
santa	santa
juliol	july
diverses	several
total	total
universitat	university
dia	day
mitjà	medium
data	date
world	world
departament	department
construcció	construction
vol	flight
premi	prize
premi	award
exemple	example
febrer	february
escola	school
cinc	five
espècie	species
principals	main
madrid	madrid
font	source
zona	zone
grans	large
banda	band
banda	banda
central	central
província	province
oficial	officer
superfície	surface
maria	maria
molts	many
cens	census
equip	team
amèrica	america
amèrica	americas
ara	ara
ara	now
qui	who
dir	dir
punt	punt
punt	point
cest	cest
iii	iii
algunes	some
regne	kingdom
john	john
actualment	currently
cas	case
unitats	units
causa	cause
activitats	activities
president	president
article	article
exèrcit	army
música	music
aigua	water
increment	increase
llavors	then
llavors	seeds
conegut	known
conegut	acquaintance
terra	earth
gray	gray
saint	saint
barra	barra
barra	bar
sèrie	series
art	art
club	club
càrrec	charge
etapa	stage
rgb	rgb
república	republic
parís	paris
ordre	command
ordre	order
donar	give
cosa	thing
ell	him
llista	list
cet	cet
important	important
segon	second
europa	europe
cal	cal
servei	service
gridcolor	gridcolor
serveis	services
morir	die
alemanya	germany
piràmide	pyramid
lightgrey	lightgrey
darkgrey	darkgrey
sfondo	sfondo
antic	old
antic	antic
plaça	square
plaça	plaza
comtat	county
pare	father
pare	parent
informació	information
mar	sea
actual	current
serie	serie
castell	castle
castell	castell
york	york
països	countries
moment	moment
anglès	english
tal	tal
illa	island
període	period
territori	territory
londres	london
internacional	international
premis	awards
premis	prizes
josep	josep
josep	joseph
center	center
museu	museum
establiments	establishments
edats	ages
districte	district
pàgina	page
dies	days
havien	had
camp	field
camp	camp
llengua	tongue
llengua	language
base	base
llarg	long
capital	capital
alt	high
alt	alt
diagrama	diagram
diagrama	chart
edifici	building
línia	line
política	policy
política	politics
metres	meters
metres	metres
finalment	finally
francisco	francisco
costat	side
planta	plant
gènere	genre
gènere	gender
mateixa	same
vegades	times
majoria	majority
natural	natural
unió	union
tard	late
aconseguir	get
veure	see
director	director
força	strength
força	force
codi	code
distribució	distribution
origen	origin
persona	person
cos	body
primers	first
espècies	species
william	william
cases	houses
batalla	battle
sol	sun
suport	support
classificació	classification
itàlia	italy
fiscals	prosecutors
comarca	shire
pere	peter
top	top
califòrnia	california
cop	cop
fitxer	file
peix	fish
militar	military
costa	costa
popular	popular
anomenat	named
temporada	season
treball	job
treball	work
vila	vila
mare	mother
estudis	studies
eleccions	elections
articles	articles
discussió	discussion
polític	politician
conjunt	set
posteriorment	subsequently
llibre	book
roma	rome
estil	style
moviment	movement
imperi	empire
divisió	division
membre	member
sempre	always
porta	door
porta	porta
teatre	theater
teatre	theatre
membres	members
ells	them
resta	subtraction
moltes	many
acord	agreement
jocs	games
rebre	receive
rebre	receiving
illes	islands
illes	isles
avui	today
http	http
alta	high
alta	alta
posició	position
format	format
espanyol	spanish
sovint	often
comte	count
jersey	jersey
canvi	change
opció	option
germà	brother
comunes	common
material	material
superior	superior
pas	step
nivell	level
valència	valencia
crear	create
consell	council
consell	hint
creu	cross
ben	ben
futbol	football
antiga	former
volta	volta
interior	interior
josé	josé
finals	finals
finals	endings
paper	paper
entorn	environment
únic	unique
institut	institute
àfrica	africa
cultura	culture
baix	low
mitjançant	through
espai	space
equips	teams
pau	peace
pau	pau
qualsevol	any
civil	civil
civil	civilian
torre	tower
comerç	trade
carrer	street
etc	etc
direcció	direction
nens	kids
nens	children
elements	items
elements	elements
mapa	map
especialment	especially
procés	process
versió	version
dret	right
occidental	occidental
municipal	municipal
vall	valley
local	local
guanyar	win
ibn	ibn
desenvolupament	development
vertical	vertical
set	seven
set	thirsty
grups	groups
campionat	championship
pla	plan
vencedor	victors
classificades	classified
original	original
déu	god
projecte	project
vers	verse
situació	situation
carrera	career
carrera	carrera
alemany	german
oriental	oriental
filla	daughter
societat	society
sis	six
forces	forces
bisbe	bishop
real	real
èxit	success
social	social
relació	relationship
carles	charles
dona	woman
punts	dots
punts	points
densitat	density
clubs	clubs
imatge	image
producció	production
pedra	stone
tracta	treat
cultural	cultural
home	man
administració	administration
resultats	results
malgrat	despite
resum	overview
resum	summary
california	california
gràcies	thanks
econòmiques	economic
automòbils	cars
escut	shield
autor	author
cantó	canton
productes	products
estructura	structure
lliga	league
ciutats	cities
gairebé	almost
categoria	category
partits	matches
estudi	study
estudi	studio
muntanya	mountain
apareix	appears
estudiant	studying
estudiant	student
sobretot	especially
longitud	length
longitud	longitude
academy	academy
reparació	repair
serra	serra
propietaris	owners
comunitat	community
lluís	lluís
lluís	louis
fons	fons
fons	background
fons	bottom
milions	million
milions	millions
revista	magazine
familiars	relatives
jove	young
bottom	bottom
palau	palau
detall	detail
elaboració	preparation
sur	sur
sexe	sex
camí	path
emperador	emperor
estadístiques	statistics
campió	champion
control	control
copa	copa
principalment	mainly
llei	law
interès	interest
participar	participate
gràfic	chart
anual	annual
fan	fan
defensa	defense
defensa	defence
llocs	places
mai	mai
mai	never
ministre	minister
alçada	height
gràfica	graph
funció	function
dècada	decade
activitat	activity
presenta	presents
anterior	prev
anterior	previous
tour	tour
ella	she
ella	her
mèxic	mexico
públic	audience
públic	public
programa	program
programa	programme
façana	facade
can	can
jaume	james
jaume	jaume
següents	following
francesc	francesc
cinema	cinema
petita	small
tropes	troops
construir	build
eschmeyer	eschmeyer
fundació	foundation
podria	could
esquerra	left
patrimoni	heritage
referència	reference
inici	start
zones	areas
realitzar	perform
hall	hall
àrea	area
imagesize	imagesize
medalla	medal
timeaxis	timeaxis
aproximadament	roughly
aproximadament	approximately
plotarea	plotarea
scalemajor	scalemajor
dateformat	dateformat
massa	mass
alignbars	alignbars
pos	pos
veu	voice
pobresa	poverty
brasil	brazil
scaleminor	scaleminor
formació	training
backgroundcolors	backgroundcolors
organització	organization
resultat	result
anglaterra	england
possible	possible
