dhe	और
një	एक
nga	से
nga	इससे
për	लिये
edhe	सम
edhe	भी
tij	उसकी
tij	उसका
tij	उसके
nuk	नही
nuk	नहीं
ishte	था
ishte	थी
janë	हैं
shumë	बहुत
por	परन्तु
por	लेकिन
por	लेकीन
por	मगर
por	लकिन
pas	बाद
këtë	ये
këtë	यह
këtë	इस
parë	देखा
parë	देखी
tyre	उनकी
tyre	इनकी
tyre	उनका
tyre	उनके
tyre	उनसे
tyre	उनके
tyre	उनको
tyre	उन्हें
gjatë	लंबी
gjatë	लंबा
gjatë	लम्बी
gjatë	long
disa	कुछ
lidhje	लिंक
lidhje	लिंक्स
lidhje	कड़ियाँ
lidhje	कड़ी
lidhje	रिश्ता
lidhje	रिश्ते
lidhje	संबन्ध
lidhje	संबंध
lidhje	कनेक्शन
lidhje	लिंक
lidhje	कड़ी
kjo	ये
kjo	यह
kjo	इस
kjo	उस
kjo	कि
kur	कब
kur	जब
mbi	अरदास
mbi	ऊपर
deri	तक
deri	तक
deri	जबतक
jashtme	बाहरी
jashtme	बाह्य
saj	इसका
saj	इसकी
saj	इसके
saj	उसे
saj	उसका
saj	उसकी
saj	उसके
kishte	था
ajo	वो
vetëm	अकेला
vetëm	अकेले
vetëm	अलोन
vetëm	सिर्फ
vetëm	केवल
vetëm	तभी
vetëm	सिर्फ
vetëm	बस
ata	उनसे
ata	उनके
ata	उनको
ata	उन्हें
ata	उन्होंने
ata	वे
tjera	अन्य
pjesë	पार्ट्स
pjesë	भाग
pjesë	हिस्से
pjesë	हिस्सा
pjesë	पार्ट
pjesë	भाग
atë	उससे
atë	उसको
atë	उसे
shqiptare	अल्बानियाई
madhe	बड़े
madhe	बड़ा
madhe	बड़ी
madhe	बिग
rreth	परिचय
para	मुद्रा
para	मनी
para	पैसा
para	पैसे
para	धन
para	नकद
para	cash
para	नकदी
para	पहले
ishin	यहूद
per	परिचय
per	लिये
këto	ये
banorë	निवासी
banorë	निवासियों
banorë	निवासी
banorë	निवासियों
komuna	नगरपालिका
cila	जिससे
nje	एक
kundër	काउंटर
kundër	खिलाफ
kundër	विरुद्ध
kundër	विरूद्ध
lista	सूची
lista	सूची
lista	सूचियां
lista	सूचियाँ
qenë	महरूम
kantoni	कैण्टन
gjithashtu	भी
ndërsa	जबकी
ndërsa	जबकि
cilat	जिससे
ndryshme	भिन्न
ndryshme	अलग
ndryshme	अपसारी
etj	आदि
etj	etc
etj	इत्यादि
duhet	जरूर
sipërfaqe	सतहों
sipërfaqe	सतह
ato	उनसे
ato	उनके
ato	उनको
ato	उन्हें
ato	उन्होंने
ato	वे
përgjithshëm	जनरल
përgjithshëm	साधारण
përgjithshëm	सामान्य
tjetër	अन्य
tjetër	अगला
njohur	परिचित
njohur	पहचाना
njohur	ज्ञात
shqiptar	अल्बानियाई
style	शैली
style	style
style	अंदाज़
style	स्टाइल
dytë	दूसरा
dytë	सेकेंड
dytë	द्वितीय
dytë	सेकण्ड
dytë	सेकंड
dytë	दूसरी
mirë	good
mirë	अच्छे
mirë	गुड
mirë	शुभ
fundit	अंतिम
fundit	आखरी
fundit	आखिरी
fundit	पिछला
fundit	नवीनतम
pasi	बाद
shiko	देख
shiko	देखें
shiko	देखिए
shiko	देखो
shiko	dekh
nën	नीचे
nën	उप
nën	sub
nën	तहत
nën	अधीन
nën	अंतर्गत
jpg	jpg
herë	गुना
herë	मोड़ें
herë	बार
herë	टाइम्स
viti	वर्ष
viti	साल
sot	आज
çdo	हर
çdo	प्रत्येक
çdo	कोई
lartë	हाई
lartë	आलीशान
lartë	उच्च
lartë	ऊँची
popullsi	जनसंख्या
popullsi	आबादी
popullsi	जनसांख्यिकी
kosovës	कोसोवो
komunë	नगरपालिका
jetë	जिंदगी
jetë	ज़िन्दगी
jetë	ज़िंदगी
jetë	जिन्दगी
jetë	जीवन
president	प्रदेशाध्यक्ष
president	राष्ट्रपति
president	अध्यक्ष
bërë	सम्पन्न
bërë	किया
mes	मध्य
mes	मिड
vonë	देरी
vonë	देर
vonë	लेट
vend	देश
vend	स्थल
vend	स्थान
vend	जगह
vend	स्थान
vend	प्लेस
shqipëri	अल्बानिया
shqipëri	अल्बानियाई
pak	छोटे
pak	छोटा
pak	लिटिल
pak	छोटी
pak	थोड़े
pak	थोड़ा
francë	फ्रांस
francë	फ़्रांस
fshat	गांव
fshat	गाँव
zyrtare	अधिकारी
zyrtare	सरकारी
zyrtare	आधिकारिक
kryetari	वक्ता
kryetari	अध्यक्ष
kryetari	स्पीकर
kryetari	चेयरमैन
kryetari	अध्यक्ष
vendosur	स्थित
vendosur	स्तिथ
pasur	था
pasur	रिच
pasur	अमीर
pasur	समृद्ध
sepse	क्योंकि
sepse	क्योकि
sepse	क्युकी
sepse	ध्येय
sepse	निमित्त
sepse	कारण
kishin	था
vitet	सालों
vitet	वर्ष
vitet	साल
vitet	वर्षों
vitet	सालो
tre	तीन
fund	स्कर्ट
fund	समाप्ति
fund	अंत
fund	समाप्ति
fund	समाप्त
marrë	लिया
tjerë	अन्य
harta	नक्शा
harta	मानचित्र
harta	मैप
harta	नक्शे
harta	मानचित्र
mbreti	राजा
mbreti	बादशाह
mbreti	किंग
vogël	नन्हा
vogël	छोटा
kosovë	कोसोवो
vjet	सालों
vjet	वर्ष
vjet	साल
vjet	वर्षों
vjet	सालो
pastaj	फिर
pastaj	तब
shtetit	अवस्था
shtetit	स्टेट
shtetit	स्थिति
shtetit	राज्य
tiranë	तिराना
kombëtare	राष्टीय
kombëtare	राष्ट्रीय
kombëtare	नेशनल
emrin	नाम
mori	प्राप्त
filloi	शुरू
filloi	प्रारंभ
ish	पूर्व
mars	मार्च
mars	कूच
mars	मंगल
file	फाइल
file	फ़ाइल
file	संचिका
presidenti	प्रदेशाध्यक्ष
presidenti	राष्ट्रपति
presidenti	अध्यक्ष
lindur	जन्म
lindur	जन्मे
lindur	born
lindi	जन्म
lindi	जनम
kryesore	मुख्य
kryesore	मेन
kryesore	प्रमुख
aktualisht	फिलहाल
qyteti	बस्ती
qyteti	नगर
qyteti	कस्बा
qyteti	शहर
qyteti	सिटी
qyteti	नगर
politike	राजनीतिक
politike	राजनैतिक
qershor	जून
pse	क्यूँ
pse	क्यों
maj	मई
maj	may
vetë	स्व
vetë	स्वयं
vetë	स्वः
nëntor	नवंबर
nëntor	नवम्बर
janar	जनवरी
shtator	सितम्बर
shtator	सितंबर
vet	उसकी
vet	उसका
vet	उसके
brenda	ब्रेंडा
brenda	अन्दर
brenda	भीतर
brenda	अंदर
shteteve	राज्यों
shteteve	राज्यो
shteteve	स्टेट्स
shteteve	राज्य
kryesisht	मुख्यतः
kryesisht	अधिकांशतः
kryesisht	अधिकांश
kryesisht	ज्यादातर
kryesisht	अधिकतर
kryesisht	ज़्यादातर
prill	अप्रैल
ditë	दिवस
ditë	दिन
ditë	दिन
ditë	दिनों
tetor	अक्टूबर
tetor	अक्तूबर
shkurt	फरवरी
shkurt	फ़रवरी
shkurt	छोटा
shkurt	छोटी
vjetër	ओल्ड
vjetër	पुराने
vjetër	पुरानी
vjetër	पुराना
vjetër	वृद्ध
vjetër	बूढ़ा
bën	करता
kodi	संहिता
kodi	कोड
dhjetor	दिसंबर
dhjetor	दिसम्बर
dhjetor	दशमलव
mbret	राजा
mbret	बादशाह
mbret	किंग
aktuale	धारा
aktuale	मौजूदा
aktuale	मौज़ूदा
aktuale	वर्तमान
gjuhën	जीभ
gjuhën	भाषा
tani	अब
tani	अभी
frëngjisht	फ़्रेंच
frëngjisht	फ़्रांसीसी
frëngjisht	फ्रांसीसी
frëngjisht	फ्रेंच
km²	km²
shtetet	राज्यों
shtetet	राज्यो
shtetet	स्टेट्स
shtetet	राज्य
shtetet	देश
shtetet	देशो
shtetet	देशों
informacion	सुचना
informacion	एनोटेशन
informacion	जानकारी
informacion	सूचना
shume	बहुत
gusht	अगस्त
shba	यूएसए
pranë	निकट
top	उपर
top	ऊपर
top	टॉप
top	शीर्ष
korrik	जुलाई
katër	चार
rëndësishme	महत्वपूर्ण
fillim	शुरुआत
fillim	आरम्भ
fillim	शुरूआत
prishtinë	pristina
jashtë	बाहर
jashtë	बाहर
jashtë	आउट
përbërja	संरचना
përbërja	रचना
përbërja	संयोजन
shën	संत
qytet	बस्ती
qytet	नगर
qytet	कस्बा
qytet	शहर
qytet	सिटी
qytet	नगर
këtu	यहां
këtu	यहा
këtu	यहाँ
dhënë	दी
dhënë	दिया
dhënë	दिए
përdorur	प्रयुक्त
faqja	पृष्ठ
faqja	पेज
aty	वहाँ
aty	वहां
aty	वहा
aty	वहीँ
krijuar	बनाया
krijuar	बनाए
krijuar	निर्मित
del	डेल
zona	मण्डल
zona	क्षेत्र
zona	क्षेत्रफल
këshilltarëve	पार्षदों
vit	वर्ष
vit	साल
shpesh	अक्सर
shpesh	अकसर
shpesh	अक्सर
shpesh	प्रायः
përfshirë	शामिल
përfshirë	शामिल
data	तारीख
data	तारीख़
data	दिनांक
data	तिथि
kryesor	मुख्य
kryesor	मेन
kryesor	प्रमुख
kryesor	प्राथमिक
emri	नाम
jane	jane
jane	जेन
new	नया
new	नई
isbn	isbn
zakonisht	प्रायः
reja	नया
reja	नई
federal	संघीय
qarkun	लैन
qarkun	काउंटी
qendër	केन्द्र
qendër	केंद्र
qendër	मध्य
qendër	बीच
qendër	केंद्र
qendër	केन्द्र
ana	आना
ana	ana
ana	अन्ना
ana	ऐना
ana	अण्णा
ana	anna
republika	गणराज्य
republika	गणतंत्र
iii	बीमार
iii	तृतीय
iii	iii
provinca	प्रान्त
provinca	प्रांतों
provinca	प्रांत
der	der
fjalë	वर्ड
fjalë	शब्द
fjalë	शब्दों
fjalë	लफ़्ज़ों
fjalë	शब्द
ndodhet	स्थित
ndodhet	स्तिथ
amerikan	अमेरिकन
amerikan	अमेरिकी
amerikan	अमरीकी
osmane	ओटोमन
osmane	उस्मानी
pjesa	हिस्से
pjesa	हिस्सा
pjesa	पार्ट
pjesa	भाग
ndonjë	कोई
caps	कैप्स
gjë	बात
ali	अली
shkruar	लिखी
shkruar	लिखा
kulturore	सांस्कृतिक
mesme	मध्य
mesme	मध्यम
mesme	माध्यम
mesme	मीडियम
shqip	अल्बानियाई
numër	संख्या
numër	नंबर
numër	क्रमांक
atëherë	फिर
atëherë	तब
mjaft	काफी
mjaft	पर्याप्त
bazë	बेस
bazë	आधार
bazë	मूल
bazë	मूलभूत
bazë	बेसिक
bazë	मौलिक
kohe	वक़्त
kohe	वक्त
kohe	समय
ndërtuar	बनवाया
ndërtuar	बनवाई
ndërtuar	निर्मित
ndërtuar	बिल्ड
ndërtuar	निर्माण
solid	ठोस
fshati	गांव
fshati	गाँव
vite	सालों
